[0, 0, 0],[0, 1, 1]
[0, 0, 0],[1, 0, 1]
[0, 0, 0],[1, 1, 0]
[0, 1, 1],[0, 2, 2]
[1, 0, 1],[2, 0, 2]
[1, 1, 0],[2, 2, 0]
[0, 2, 2],[0, 3, 3]
[2, 0, 2],[3, 0, 3]
[2, 2, 0],[3, 3, 0]
[0, 2, 2],[1, 2, 3]
[0, 2, 2],[1, 3, 2]
[2, 0, 2],[2, 1, 3]
[2, 2, 0],[2, 3, 1]
[2, 0, 2],[3, 1, 2]
[2, 2, 0],[3, 2, 1]
[0, 3, 3],[0, 4, 4]
[3, 0, 3],[4, 0, 4]
[3, 3, 0],[4, 4, 0]
[0, 4, 4],[0, 5, 5]
[4, 0, 4],[5, 0, 5]
[4, 4, 0],[5, 5, 0]
[0, 4, 4],[1, 4, 5]
[0, 4, 4],[1, 5, 4]
[4, 0, 4],[4, 1, 5]
[4, 4, 0],[4, 5, 1]
[4, 0, 4],[5, 1, 4]
[4, 4, 0],[5, 4, 1]
[0, 5, 5],[0, 6, 6]
[5, 0, 5],[6, 0, 6]
[5, 5, 0],[6, 6, 0]
[1, 4, 5],[2, 4, 6]
[1, 5, 4],[2, 6, 4]
[4, 1, 5],[4, 2, 6]
[4, 5, 1],[4, 6, 2]
[5, 1, 4],[6, 2, 4]
[5, 4, 1],[6, 4, 2]
[0, 6, 6],[0, 7, 7]
[6, 0, 6],[7, 0, 7]
[6, 6, 0],[7, 7, 0]
[0, 6, 6],[1, 6, 7]
[0, 6, 6],[1, 7, 6]
[6, 0, 6],[6, 1, 7]
[6, 6, 0],[6, 7, 1]
[6, 0, 6],[7, 1, 6]
[6, 6, 0],[7, 6, 1]
[2, 4, 6],[2, 5, 7]
[2, 6, 4],[2, 7, 5]
[4, 2, 6],[5, 2, 7]
[4, 6, 2],[5, 7, 2]
[6, 2, 4],[7, 2, 5]
[6, 4, 2],[7, 5, 2]
[2, 4, 6],[3, 4, 7]
[2, 6, 4],[3, 7, 4]
[4, 2, 6],[4, 3, 7]
[4, 6, 2],[4, 7, 3]
[6, 2, 4],[7, 3, 4]
[6, 4, 2],[7, 4, 3]
[2, 4, 6],[3, 5, 6]
[2, 6, 4],[3, 6, 5]
[4, 2, 6],[5, 3, 6]
[4, 6, 2],[5, 6, 3]
[6, 2, 4],[6, 3, 5]
[6, 4, 2],[6, 5, 3]
[0, 7, 7],[0, 8, 8]
[7, 0, 7],[8, 0, 8]
[7, 7, 0],[8, 8, 0]
[0, 8, 8],[0, 9, 9]
[8, 0, 8],[9, 0, 9]
[8, 8, 0],[9, 9, 0]
[0, 8, 8],[1, 8, 9]
[0, 8, 8],[1, 9, 8]
[8, 0, 8],[8, 1, 9]
[8, 8, 0],[8, 9, 1]
[8, 0, 8],[9, 1, 8]
[8, 8, 0],[9, 8, 1]
[0, 9, 9],[0, 10, 10]
[9, 0, 9],[10, 0, 10]
[9, 9, 0],[10, 10, 0]
[1, 8, 9],[2, 8, 10]
[1, 9, 8],[2, 10, 8]
[8, 1, 9],[8, 2, 10]
[8, 9, 1],[8, 10, 2]
[9, 1, 8],[10, 2, 8]
[9, 8, 1],[10, 8, 2]
[0, 10, 10],[0, 11, 11]
[10, 0, 10],[11, 0, 11]
[10, 10, 0],[11, 11, 0]
[0, 10, 10],[1, 10, 11]
[0, 10, 10],[1, 11, 10]
[10, 0, 10],[10, 1, 11]
[10, 10, 0],[10, 11, 1]
[10, 0, 10],[11, 1, 10]
[10, 10, 0],[11, 10, 1]
[2, 8, 10],[2, 9, 11]
[2, 10, 8],[2, 11, 9]
[8, 2, 10],[9, 2, 11]
[8, 10, 2],[9, 11, 2]
[10, 2, 8],[11, 2, 9]
[10, 8, 2],[11, 9, 2]
[2, 8, 10],[3, 8, 11]
[2, 10, 8],[3, 11, 8]
[8, 2, 10],[8, 3, 11]
[8, 10, 2],[8, 11, 3]
[10, 2, 8],[11, 3, 8]
[10, 8, 2],[11, 8, 3]
[2, 8, 10],[3, 9, 10]
[2, 10, 8],[3, 10, 9]
[8, 2, 10],[9, 3, 10]
[8, 10, 2],[9, 10, 3]
[10, 2, 8],[10, 3, 9]
[10, 8, 2],[10, 9, 3]
[0, 11, 11],[0, 12, 12]
[11, 0, 11],[12, 0, 12]
[11, 11, 0],[12, 12, 0]
[3, 8, 11],[4, 8, 12]
[3, 11, 8],[4, 12, 8]
[8, 3, 11],[8, 4, 12]
[8, 11, 3],[8, 12, 4]
[11, 3, 8],[12, 4, 8]
[11, 8, 3],[12, 8, 4]
[0, 12, 12],[0, 13, 13]
[12, 0, 12],[13, 0, 13]
[12, 12, 0],[13, 13, 0]
[0, 12, 12],[1, 12, 13]
[0, 12, 12],[1, 13, 12]
[12, 0, 12],[12, 1, 13]
[12, 12, 0],[12, 13, 1]
[12, 0, 12],[13, 1, 12]
[12, 12, 0],[13, 12, 1]
[4, 8, 12],[4, 9, 13]
[4, 12, 8],[4, 13, 9]
[8, 4, 12],[9, 4, 13]
[8, 12, 4],[9, 13, 4]
[12, 4, 8],[13, 4, 9]
[12, 8, 4],[13, 9, 4]
[4, 8, 12],[5, 8, 13]
[4, 12, 8],[5, 13, 8]
[8, 4, 12],[8, 5, 13]
